agentX,agentY,eDist
3,3,1.414178567063634
4,3,6.853608066550044e-06
4,2,2.000019626415739
3,2,1.414223846749923
3,3,-9.160539710052486e-06
4,3,8.703269762457843e-06
5,3,1.4142029367655582
5,4,3.1622982548220824
5,3,2.0000323796332133
4,3,2.8284579568496806
5,3,2.0000036903738114
4,3,2.8284458663902123
3,3,2.8284315727383613
3,2,3.162248795828475
3,1,2.0000237924453605
4,1,1.9999661876634722
3,1,2.0000001462912644
3,0,3.16226540139367
4,0,1.4141812908030387
5,0,1.4142429766504274
5,5,2.000002177269357
4,5,2.828437280938
4,0,1.4141959264053054
3,0,3.1622780329473694
4,0,1.414225823150729
4,5,2.828441848850457
3,5,2.828420489203489
3,4,4.2426269027597225
4,4,3.162289271635095
3,4,4.242618596657431
3,3,2.828442701194177
3,2,3.1622862248257912
2,2,3.162266083651884
1,2,1.4141895733491112
0,2,1.4142502010947318
5,2,1.4142136227217759
5,3,1.9999659069758848
4,3,2.828404399526054
3,3,2.8284297733022132
3,4,4.242641131397845
3,5,2.8284011969100473
2,5,2.8284290275350616
2,4,4.242632212817286
1,4,3.162253940497081
1,3,2.8283879631215063
1,4,3.16227496414214
2,4,4.242635912861899
2,5,2.8283985434082215
2,4,4.242610732711663
3,4,4.242616809399749
2,4,4.242616342036672
3,4,4.242637541815937
3,3,2.828442065859292
3,2,3.1622862536970966
4,2,1.4142550582364541
5,2,1.4142066964194515
5,3,2.0000459730788145
4,3,2.8284238205551375
5,3,2.0000340724797625
5,2,1.414199119357694
0,2,1.4142133843998292
0,3,1.9999891360398319
1,3,2.828465989991459
0,3,1.9999710512777535
0,4,3.162283681157655
1,4,3.162243962169146
1,3,2.8284246007225162
2,3,2.8284669302191854
1,3,2.828416836148363
2,3,2.8284228035437904
1,3,2.828451862903894
0,3,1.9999953943064315
0,2,1.4142490822448053
5,2,1.414223823860672
5,3,1.9999908815596157
0,3,2.000012983458545
5,3,2.000012088470772
5,2,1.4141954217647454
5,3,2.000027752036228
5,2,1.4141788545501486
0,2,1.4142241097557515
0,3,1.9999925139423251
0,2,1.4142217165035946
5,2,1.4141969967652401
5,1,8.469145636753003e-06
4,1,1.9999968096526999
4,0,1.4142003236187966
5,0,1.4142828669160648
5,5,1.9999875025562932
5,4,3.162275460260461
0,4,3.162255769024587
1,4,3.1622728331933887
