agentX,agentY,eDist
9,9,3.0761303717494863
9,0,3.834004877682324
8,0,5.126349812967067
8,9,5.3428125609295885
9,9,4.116310133237167
0,9,3.77555223831291
0,0,2.5230758010777743
0,1,2.526176969581718
9,1,3.6107581973081535
9,2,2.930392571072915
9,3,2.8701872450321013
8,3,3.3775601281140366
8,4,5.55145706211642
8,3,5.150842408626598
9,3,3.2852901205443414
9,2,3.6247214674059682
0,2,1.7825079605317984
0,3,2.2731853207363075
0,4,2.3241922543499003
9,4,4.149853949476846
9,3,3.9553591721877965
9,4,2.478473391208253
8,4,4.109176513884603
7,4,4.939716982592219
6,4,5.338634671503119
6,5,3.8446029175644796
7,5,4.75523289296385
7,6,7.383600148507601
6,6,5.030156808462535
6,7,5.851169327855601
5,7,5.903527540067754
5,6,5.33853972699488
4,6,4.419061791054647
4,5,3.012396954620633
4,4,2.986990206028605
4,5,3.6145836412163974
4,6,4.880828542791277
3,6,4.613909101166876
3,5,1.934818793377235
2,5,3.2440621507782024
2,4,3.356405041003289
2,5,2.6328570587236046
1,5,3.549326550697896
1,4,1.4997192490582607
0,4,1.7839687716939296
9,4,4.208867356441776
9,3,3.234858986766989
9,2,3.0188557565487155
9,3,2.776393776974387
9,2,2.200365867204046
9,3,4.41332661147649
8,3,3.871836725505011
8,2,3.949317689516918
9,2,3.002638395991733
0,2,0.8635658628260252
0,1,1.4785606396148814
1,1,1.2482877843343565
2,1,0.6998823766588995
2,2,0.08828520076584918
3,2,1.014809285359594
4,2,2.2115786506273785
4,1,1.7344585256830982
3,1,1.1317368290774814
3,0,1.4454122675470078
4,0,3.8858744170283472
4,1,2.6983284165108485
4,2,0.9729226502982575
4,3,3.600543956487882
5,3,3.0031357472919264
6,3,3.1703943599854667
6,4,5.068534425506255
7,4,5.891626887034641
7,5,6.695126952444673
7,4,6.020015224522431
7,3,4.2875167598321084
7,4,5.280321362217745
7,3,4.093962740083194
6,3,4.195028379488736
6,2,4.498037103399431
5,2,3.2864509572417395
5,1,3.68202852927751
6,1,3.831025014718432
6,0,4.061049707210783
7,0,5.893953904507832
6,0,6.004571915475363
6,9,4.889860298239512
5,9,4.0294199890405595
6,9,4.23483893341561
7,9,6.560076327951115
7,0,5.2321529716412
7,1,5.0930870713980445
8,1,3.760973620012879
8,2,4.502041458461319
9,2,1.927040735884697
0,2,2.086832303568468
1,2,1.6329072431073244
1,1,1.614913204898472
1,2,-0.12326664112345354
1,1,1.3300794398973772
1,2,2.3268490998360605
2,2,-0.2772108905604333
1,2,0.09433137549346682
1,1,1.0712603014605717
1,2,0.8559599199978258
2,2,0.28158681361465204
2,3,0.27063804597851004
3,3,0.9446014292164131
2,3,0.6057499192765521
2,4,3.1839957236711776
2,3,1.342049585893097
2,2,-0.3039480128093468
2,3,1.4327819515031215
3,3,1.014224865807184
4,3,3.286845793712594
4,2,2.3946821795735853
5,2,2.708623722898951
5,3,4.087345534440748
4,3,1.0791405459444077
3,3,1.7657929842560374
4,3,1.9865327216679585
4,4,3.14648865635798
4,3,1.2828928693423136
4,2,2.2823048545584332
4,1,2.129723067497569
3,1,0.9729217524224858
3,2,3.3101514323195445
3,1,1.206648855327312
4,1,1.2862975850466603
5,1,3.7975839454963296
5,0,2.9499761797020305
5,9,3.8458981276814836
4,9,2.9503433456091184
4,0,2.887247081029847
4,1,1.8342283976173137
4,0,1.3156557949553467
4,1,2.003954219011007
3,1,0.9963109592208947
3,2,0.8167067947402684
2,2,0.7649716256759933
3,2,1.7733126493833788
3,3,2.429085407624881
3,2,0.8800244549005777
2,2,0.9702809738251826
1,2,1.1610045919169645
0,2,3.532912979170395
0,3,1.6096663487939484
0,4,3.0974927350297605
1,4,0.9795117192867369
2,4,2.8516346879099297
1,4,1.9390091349620726
2,4,1.8010428859384484
2,5,2.731806718935212
3,5,3.1790722623514087
2,5,4.011690752236171
2,4,2.694888495347557
2,5,3.7325839910445793
